13-5726163      Overington,       Gill 22    15.83 $348.26 $327.36
89-5572142        Guiducci,       Dian 34    37.16 $1,263.44 $1,187.63
48-5944357           Chaff,    Matelda 32    12.11 $387.52 $364.27
08-6418374            Bein,       Todd 16    21.36 $341.76 $321.25
57-5668354          Tomkin,        Ada 25    46.79 $1,169.75 $1,099.56
90-4343245       Tumbridge,       Peri 18    11.10 $199.80 $187.81
88-5965464        Simonini,      Patin 18    56.19 $1,011.42 $950.73
66-8646384          Euston,     Amalle 24    50.83 $1,219.92 $1,146.72
92-6608028         Barnaby,    Blancha 27    29.15 $787.05 $739.83
09-4311240          Hawton,     Nichol 17    13.74 $233.58 $219.57
07-2436382         Fieller,   Salvador 37    46.62 $1,724.94 $1,621.44
89-9294243           Klaff,      Datha 33    55.47 $1,830.51 $1,720.68
29-5149538       Dorricott,      Niall 27    15.34 $414.18 $389.33
31-2010280          Hanlin,     Maxine 37    52.17 $1,930.29 $1,814.47
08-9119071           Denne,     Rosene 36    17.54 $631.44 $593.55
72-8268306         Croydon,     Glynis 22    15.38 $338.36 $318.06
69-0000549         Beretta,      Helen 38    12.88 $489.44 $460.07
18-5896022        Proschek,   Marietta 22    51.44 $1,131.68 $1,063.78
05-1178852         Bispham,       Flor 37    48.94 $1,810.78 $1,702.13
27-4222458      Branscombe,    Melitta 16    36.64 $586.24 $551.07
78-9632063         Hauxley,      Manny 39    30.38 $1,184.82 $1,113.73
94-0463749        Morewood,       Izak 19    32.98 $626.62 $589.02
38-7745055        Bentinck,     Jdavie 39    13.16 $513.24 $482.45
79-1965723         Boerder,      Darya 39    16.14 $629.46 $591.69
64-3400166       Armistead,      Willy 15    23.55 $353.25 $332.06
25-9217245         Weekley,      Inger 27    23.49 $634.23 $596.18
55-5751684        Bartunek,      Merry 24    46.07 $1,105.68 $1,039.34
86-4134589          Pochon,      Velma 18    51.00 $918.00 $862.92
10-6743638          Deards,     Shamus 27    35.76 $965.52 $907.59
37-4924115          Moland,      Nelia 30    37.65 $1,129.50 $1,061.73
04-2822236         Clarson,     Laural 25    17.44 $436.00 $409.84
25-8704088         Giddens,      Tessi 24    41.33 $991.92 $932.40
46-7512981         Gaskins,   Chrissie 25    20.76 $519.00 $487.86
12-4737970         Ilewicz,     Ellary 35    50.88 $1,780.80 $1,673.95
82-1305674           Rappa,     Lethia 24    13.13 $315.12 $296.21
52-6786433           Lakin,      Teddi 35    45.96 $1,608.60 $1,512.08
32-9126566         Dunnion,      Lenna 24    39.50 $948.00 $891.12
23-5080933           Finan,   Lauralee 27    59.18 $1,597.86 $1,501.99
79-8931381      Carmichael,      Timmy 15    35.78 $536.70 $504.50
96-1968420         Woodman,       Lind 24    37.75 $906.00 $851.64
63-6322000       Hogbourne,       Niko 29    13.99 $405.71 $381.37
40-4239908           Oxlee,   Michaela 35    56.69 $1,984.15 $1,865.10
06-8440217          Blazey,     Jaclin 20    12.99 $259.80 $244.21
93-6145693        Turville,   Richardo 18    36.94 $664.92 $625.02
73-8123314          Mailes,        Dev 23    34.39 $790.97 $743.51
38-9183417         Spawton,   Gabriela 23    28.01 $644.23 $605.58
72-7137871          Hughes,   Juliette 35    30.44 $1,065.40 $1,001.48
21-6881934         Wingatt,    Craggie 38    29.05 $1,103.90 $1,037.67
71-1085613      von Nassau,   Rayshell 18    48.56 $874.08 $821.64
13-4726049      Piatkowski,     Janela 20    41.76 $835.20 $785.09
99-3704597      Witheridge,       Lulu 36    18.88 $679.68 $638.90
64-6640873         Millett,     Wilden 24    49.49 $1,187.76 $1,116.49
59-1303462           Bedin,     Ulrich 17    35.89 $610.13 $573.52
79-7151954          Todari,   Collette 19    27.09 $514.71 $483.83
59-6700511         Skeemer,     Zahara 20    13.78 $275.60 $259.06
74-9668426            Pugh,     Stearn 40    24.45 $978.00 $919.32
00-6661070           Wadly,       Kala 15    53.70 $805.50 $757.17
61-2995815      Dronsfield,     Jarrod 38    16.50 $627.00 $589.38
01-1506373          Landon,     Stacia 26    15.23 $395.98 $372.22
83-7627070          Barles,      Piper 32    26.19 $838.08 $787.80
51-7161182         Cossons,    Marinna 20    36.86 $737.20 $692.97
00-7718514          Frentz,   Danielle 29    28.91 $838.39 $788.09
91-5242372       Sinisbury,     Tobias 33    50.28 $1,659.24 $1,559.69
66-4010174       Clutheram,     Sergei 27    20.94 $565.38 $531.46
24-9273033      Bartoletti,      Tasia 18    17.86 $321.48 $302.19
64-4632221         Bennett,      Bevan 40    25.92 $1,036.80 $974.59
96-8755152      Noseworthy,       Rodi 40    43.54 $1,741.60 $1,637.10
33-4934648          Lundie,     Willow 39    54.96 $2,143.44 $2,014.83
90-7469158           Nacey,    Aigneis 36    52.44 $1,887.84 $1,774.57
79-7981804       Garritley,   Estrella 37    52.21 $1,931.77 $1,815.86
44-3463421         Whapham,    Dee dee 32    31.85 $1,019.20 $958.05
64-1147632        Birchill,      Danny 39    47.70 $1,860.30 $1,748.68
04-9664578           Tinto,     Gaspar 19    46.16 $877.04 $824.42
90-1839761        Seacombe,       Devy 33    56.02 $1,848.66 $1,737.74
31-1466660          Hellin,     Yehudi 30    47.57 $1,427.10 $1,341.47
57-7676649        Salvador,      Vikky 39    47.32 $1,845.48 $1,734.75
72-8861386          Cheese,     Daisey 15    31.23 $468.45 $440.34
79-2064123         Brockie,    Evelina 27    26.93 $727.11 $683.48
38-1562417          Sansum,        Zak 26    25.32 $658.32 $618.82
80-9428318           Brame,   Adolphus 27    15.00 $405.00 $380.70
81-3213825          Messer,     Meriel 29    58.63 $1,700.27 $1,598.25
75-7178713          Jollie,     Elysee 29    23.05 $668.45 $628.34
00-7257729      Josifovitz,   Anallese 26    16.79 $436.54 $410.35
48-1861908           Power,      Shell 36    25.57 $920.52 $865.29
50-7243488           Hince,    Hillary 37    31.86 $1,178.82 $1,108.09
24-7559108         Regglar,     Menard 39    31.89 $1,243.71 $1,169.09
84-9220242       Slemmonds,       Calv 36    27.11 $975.96 $917.40
98-1486434           Tooke,      Cynde 37    17.10 $632.70 $594.74
91-8612320           Bazek,     Margot 16    35.68 $570.88 $536.63
13-5189417       MacGinney,    Davidde 34    25.21 $857.14 $805.71
89-8608257           Ridge,      Myron 16    14.54 $232.64 $218.68
50-8343352          Duffil,      Sibby 19    10.90 $207.10 $194.67
42-3551749            Chue,     Kenton 19    39.10 $742.90 $698.33
06-3111305       Gilfether,  Stanleigh 22    14.00 $308.00 $289.52
26-6405199         Hatliff,    Mirella 25    41.54 $1,038.50 $976.19
56-5097200        Brownell,   Dorothea 35    32.08 $1,122.80 $1,055.43
77-2663480        Leithgoe,   Allister 32    16.45 $526.40 $494.82
68-7609940           Urwen,     Morley 23    35.18 $809.14 $760.59
35-4369876     Cumberlidge,     Lutero 35    16.29 $570.15 $535.94
22-7717193        Kyllford,       Zora 36    15.43 $555.48 $522.15
80-2662146     Cancellario,     Tracee 26    21.95 $570.70 $536.46
86-8715509           Bawme,      Klaus 40    38.69 $1,547.60 $1,454.74
01-6023737        Salterne,       Dael 36    53.65 $1,931.40 $1,815.52
60-8597051      Gillebride,     Sigrid 39    58.28 $2,272.92 $2,136.54
00-8492269       Malenfant,      Nerty 34    31.05 $1,055.70 $992.36
19-8623635        Clohessy,      Lishe 21    23.11 $485.31 $456.19
21-2514150      Gallyhaock,  Rafaelita 30    48.71 $1,461.30 $1,373.62
13-5719143         Backler,      Herve 31    58.39 $1,810.09 $1,701.48
43-8412845       Presswell,     Darcey 37    10.12 $374.44 $351.97
68-3046310          Cowsby,      Marsh 25    22.08 $552.00 $518.88
89-2050674       Roubottom,    Thibaut 28    47.97 $1,343.16 $1,262.57
22-9461443          Couser,     Darryl 16    45.23 $723.68 $680.26
70-5555561         Dongate,    Darrell 35    28.43 $995.05 $935.35
61-9361995       McManamen,       Pace 35    27.25 $953.75 $896.53
69-3315524           Scini,    Phyllys 23    33.08 $760.84 $715.19
66-9658239       Lightfoot,    Morgana 30    15.27 $458.10 $430.61
94-0000025        Bauldrey,  Catherina 26    25.43 $661.18 $621.51
86-6067894    Tomczykowski,     Duncan 39    17.57 $685.23 $644.12
87-7028437         Cashell,     Marina 19    42.25 $802.75 $754.58
15-4380142         Ainslee,       Tove 25    25.01 $625.25 $587.74
81-5674302           Hould,      Cathy 19    17.43 $331.17 $311.30
16-4723914           Akast,       Fern 15    51.12 $766.80 $720.79
25-0798928         McLukie,        Ram 37    22.39 $828.43 $778.72
38-5631143           Sutor,     Frieda 25    53.92 $1,348.00 $1,267.12
73-6730862           Nowak,   Giovanni 15    41.60 $624.00 $586.56
60-7498745         Scraney,      Allen 20    55.36 $1,107.20 $1,040.77
19-1670220           Hanes,     Susann 31    49.59 $1,537.29 $1,445.05
43-3218520        Jaszczak,       Temp 16    44.10 $705.60 $663.26
39-2842104        Verrillo,      Mamie 20    43.77 $875.40 $822.88
17-5336483          Ruskin,     Mendel 28    30.08 $842.24 $791.71
74-0362661       Shercliff,       Amii 23    35.11 $807.53 $759.08
94-3121305          Brydon,       Mace 16    41.46 $663.36 $623.56
25-4927409         Codling,    Antoine 21    15.79 $331.59 $311.69
96-5612844            Mont,     Clevie 16    56.65 $906.40 $852.02
26-5926760      Davidofski,  Cristiano 22    26.09 $573.98 $539.54
72-4803501       Eglington,   Salomone 30    33.42 $1,002.60 $942.44
49-5085352       Berendsen,    Jerrine 32    58.04 $1,857.28 $1,745.84
26-1424701         Snawdon,       Kira 16    44.66 $714.56 $671.69
42-5882093         Mincini,      Emili 34    10.44 $354.96 $333.66
83-4784279           Lesly,      Venus 39    49.57 $1,933.23 $1,817.24
80-9743260       Hargreves,       Chad 28    22.82 $638.96 $600.62
42-3630060         Meadway,    Emelita 32    15.38 $492.16 $462.63
04-0430200        Smedmore,      Nonie 22    56.19 $1,236.18 $1,162.01
40-7307100          Veazey,    Isadore 19    55.15 $1,047.85 $984.98
58-8571826      Pollington,     Demott 20    19.91 $398.20 $374.31
36-6255840         Huggins,   Violetta 27    38.81 $1,047.87 $985.00
57-2924184            Frid,   Dulcinea 36    57.82 $2,081.52 $1,956.63
48-6277459         Rabbage,   Gerhardt 26    56.92 $1,479.92 $1,391.12
82-9018159        Tremayne,      Biron 36    48.59 $1,749.24 $1,644.29
78-9305729           Allen,     Jelene 28    49.73 $1,392.44 $1,308.89
10-0332769      Charleston,      Tobit 37    18.17 $672.29 $631.95
55-8230918           Crone,       Arda 20    34.53 $690.60 $649.16
18-3346271          Piburn,      Andre 27    32.63 $881.01 $828.15
38-8871910            Bowe,     Ulrich 21    17.70 $371.70 $349.40
18-3362691         Peckham,    Antonio 39    45.05 $1,756.95 $1,651.53
51-0846696           Hanne,       Mina 30    56.58 $1,697.40 $1,595.56
45-1567280          Plaice,       Kory 29    30.80 $893.20 $839.61
42-7070211        Grattage,      Alyce 15    20.79 $311.85 $293.14
25-3193571           Caton,     Kassia 30    53.70 $1,611.00 $1,514.34
83-5381163         Caldera,    Rozalie 31    16.86 $522.66 $491.30
52-2768869          Pencot,       Linn 28    35.70 $999.60 $939.62
93-9728045       Trethewey,     Cristy 21    42.25 $887.25 $834.02
33-5785057            Leys,     Pietra 40    36.75 $1,470.00 $1,381.80
21-0559122        O Mullen,    Shelden 19    28.97 $550.43 $517.40
18-6196078        Doornbos,      Druci 21    22.43 $471.03 $442.77
68-5612577           Gabey,      Cybil 37    21.85 $808.45 $759.94
39-9490937      Twelvetree,    Tirrell 31    23.60 $731.60 $687.70
28-5736194            Pyer, Stephannie 40    35.50 $1,420.00 $1,334.80
06-6354619           Kuzma,     Myrtia 18    33.97 $611.46 $574.77
25-0369634           Exley, Sigismundo 30    15.65 $469.50 $441.33
23-5797618          Pohlak,       Gwen 32    12.34 $394.88 $371.19
42-4280714         Garnham,      Ulick 36    57.24 $2,060.64 $1,937.00
71-4662726          Ivimey,        Isa 18    28.23 $508.14 $477.65
67-0570084         Elleton,    Garland 40    28.40 $1,136.00 $1,067.84
60-6863650        Franklyn,    Conrado 36    38.36 $1,380.96 $1,298.10
87-8603616         Turfitt,   Elizabet 27    27.86 $752.22 $707.09
20-7341144       Brockbank,    Alberta 17    48.60 $826.20 $776.63
43-5468028          Proske,    Anselma 21    54.73 $1,149.33 $1,080.37
05-2506480         Newsome,    Roberto 32    46.58 $1,490.56 $1,401.13
73-9470719           Rizzi,     Margie 27    39.71 $1,072.17 $1,007.84
67-2839055         Cawston,     Maegan 22    40.86 $898.92 $844.98
13-4651476           Wards,       Matt 27    32.75 $884.25 $831.19
28-7564601          Spaven,     Celina 15    17.22 $258.30 $242.80
63-8612803         MacNish,       Wynn 37    26.27 $971.99 $913.67
20-8550030          Aitken,   Eleonora 34    21.80 $741.20 $696.73
30-0597875           Beert,      Ralph 17    38.17 $648.89 $609.96
89-8741765         Bradtke,     Agosto 36    34.46 $1,240.56 $1,166.13
02-7172982      Hardington,     Cassey 28    26.48 $741.44 $696.95
83-5055740          Wildes,   Eleonora 29    14.34 $415.86 $390.91
01-2304965          Layton,     Hirsch 32    14.80 $473.60 $445.18
39-6673729          Ventom,    Shannon 35    21.34 $746.90 $702.09
60-5497478      Lilleycrop,         Ty 20    14.90 $298.00 $280.12
36-5149712           Musla,    Kynthia 16    17.01 $272.16 $255.83
03-9859481          Bilbey,     Sharla 23    33.08 $760.84 $715.19
09-6886167         Shipton,      Rhoda 38    55.04 $2,091.52 $1,966.03
83-1922262        Maffucci,      Shela 22    16.04 $352.88 $331.71
66-1844851       Ricciardi,      Magda 27    55.56 $1,500.12 $1,410.11
44-3054879     Westmerland,      Jewel 28    40.80 $1,142.40 $1,073.86
78-5351817        McGrorty,  Gottfried 18    12.22 $219.96 $206.76
88-8117990        Di Boldi,      Glynn 21    35.03 $735.63 $691.49
64-0923585      McElhinney,   Antonius 30    12.15 $364.50 $342.63
40-4410943         Pidgeon,   Staffard 24    40.70 $976.80 $918.19
15-6212503        Coupland,        Dot 23    55.80 $1,283.40 $1,206.40
20-7788746        Maystone,     Brigit 28    38.96 $1,090.88 $1,025.43
17-2284387          Barley,    Jamison 18    47.69 $858.42 $806.91
59-2925180          Richen,  Archibold 17    12.67 $215.39 $202.47
62-1911396          Latham,     Carrol 20    46.92 $938.40 $882.10
19-3108088         Beevers,      Raina 16    40.46 $647.36 $608.52
77-1623132        Bunclark,      Debee 17    49.17 $835.89 $785.74
06-4179635       Simoneton,   Consuela 23    20.16 $463.68 $435.86
05-7773317           Frudd,     Jarrod 15    10.74 $161.10 $151.43
67-0171971      MacAnespie,      Bette 23    52.67 $1,211.41 $1,138.73
70-4897224         Lockner,    Annabel 17    16.58 $281.86 $264.95
61-3593233         Paggitt,      Jesus 18    36.64 $659.52 $619.95
59-4844221           Slegg,     Rickie 33    35.04 $1,156.32 $1,086.94
83-6284351        Ommanney,     Erroll 35    12.02 $420.70 $395.46
64-7816015         McMahon, Constantina 24    13.80 $331.20 $311.33
45-7019136       Pottberry,      Dixie 32    43.82 $1,402.24 $1,318.11
39-7979570           Brise,     Roddie 22    55.09 $1,211.98 $1,139.26
23-4694573         Lockton,     Easter 23    15.70 $361.10 $339.43
19-5258830         Lamboll,   Marietta 15    31.70 $475.50 $446.97
65-6071908       Kenwright,        Ira 26    15.65 $406.90 $382.49
63-5041247        Brennans,    Yalonda 20    50.38 $1,007.60 $947.14
51-6875738     Crosthwaite,     Kellen 26    12.45 $323.70 $304.28
46-1139433        Dunbobin,    Chantal 29    26.94 $781.26 $734.38
34-3389257      McLaughlin, Cinderella 30    25.63 $768.90 $722.77
85-7359602     Ravenscroft,      Willi 27    12.22 $329.94 $310.14
45-2502125          Loghan,   Stafford 21    57.62 $1,210.02 $1,137.42
74-7050462          Sawday,  Cristabel 20    46.02 $920.40 $865.18
84-0599056          Fillan,       Joye 36    46.30 $1,666.80 $1,566.79
85-0816822        Blanchet,     Tedman 31    58.57 $1,815.67 $1,706.73
44-1546105           Acory,   Angeline 27    51.82 $1,399.14 $1,315.19
80-6871865         Charman,    Abagael 27    32.82 $886.14 $832.97
77-9572878       Sinderson,     Colver 24    39.06 $937.44 $881.19
03-4514714         Lawford,       Myra 23    41.12 $945.76 $889.01
77-4897934         Vaggers,      Caryl 39    31.17 $1,215.63 $1,142.69
16-3847634       Dillicate,       Dell 18    11.12 $200.16 $188.15
18-6452671           Dulin,        Mag 30    21.43 $642.90 $604.33
04-5284640     Consterdine,      Audie 26    13.22 $343.72 $323.10
14-5619220            Jess,     Newton 19    58.03 $1,102.57 $1,036.42
70-4215074          Bendon,   Adelaide 31    29.71 $921.01 $865.75
51-0781642        McJerrow,      Micky 20    30.35 $607.00 $570.58
31-7047465        Sutherby,     Melony 38    33.97 $1,290.86 $1,213.41
64-9126736         Dearman,     Blondy 40    47.32 $1,892.80 $1,779.23
52-8627342       Mullender,       Lacy 18    53.42 $961.56 $903.87
66-7267408          Gounod,      Claus 17    10.37 $176.29 $165.71
93-6327454           Raoul,         Si 30    53.65 $1,609.50 $1,512.93
59-4976488       Leidecker,      Rance 17    42.39 $720.63 $677.39
40-4296462      Bellworthy,   Jordanna 28    56.70 $1,587.60 $1,492.34
76-2695534           Haigh,    Auguste 30    32.60 $978.00 $919.32
88-2010440           Fried,     Carina 36    47.76 $1,719.36 $1,616.20
23-5109828       Schechter,   Madelene 19    24.54 $466.26 $438.28
44-1663795      Behrendsen,        Uta 29    18.39 $533.31 $501.31
69-7262377       O' Timony,    Aurilia 26    49.58 $1,289.08 $1,211.74
54-2895458          Alston,     Rossie 28    38.06 $1,065.68 $1,001.74
69-4609957         Schafer,  Ellsworth 22    41.45 $911.90 $857.19
04-2706633         Attwoul,     Samara 16    28.55 $456.80 $429.39
32-7506780         Creavin,    Phillie 38    53.09 $2,017.42 $1,896.37
03-5192534           Forri,      Elena 38    44.46 $1,689.48 $1,588.11
44-2815040        Izacenko, Beauregard 36    37.14 $1,337.04 $1,256.82
66-3147770      Mablestone,      Kimmy 38    21.66 $823.08 $773.70
00-7902240           Obern,     Mandel 39    59.13 $2,306.07 $2,167.71
19-5957496         Furniss, Jaquenetta 17    12.21 $207.57 $195.12
09-5860251    BoHlingolsen,      Terza 31    16.36 $507.16 $476.73
95-1050215       Blanchard,       Jory 18    17.71 $318.78 $299.65
04-9919489      Jeannequin,      Kitty 16    56.25 $900.00 $846.00
53-2538912       Pentycost,  Francoise 27    49.77 $1,343.79 $1,263.16
09-1532278          Hilary,      Uriel 16    30.06 $480.96 $452.10
26-3641692       Mattiussi,      Morey 23    50.05 $1,151.15 $1,082.08
48-7463704          Iveans,       Beck 29    44.13 $1,279.77 $1,202.98
89-5191040          Dablin,        Reg 22    16.33 $359.26 $337.70
31-2756790            Land,    Brandie 39    22.90 $893.10 $839.51
41-0857709           Eagan,      Karna 25    12.77 $319.25 $300.09
82-2633010           Rhule,      Hobey 28    29.35 $821.80 $772.49
70-9611635         Scalera,   Michelle 22    55.01 $1,210.22 $1,137.61
03-5233180          Elsmor,    Melitta 25    31.85 $796.25 $748.47
61-1482696           Fagge,       Gena 40    11.56 $462.40 $434.66
78-8607810          Surmon,    Margalo 29    23.27 $674.83 $634.34
52-9836132         Draayer,      Jonas 16    10.72 $171.52 $161.23
35-9357137          Blaver,       Rudy 28    24.24 $678.72 $638.00
90-2607114         Bamling,   Maryanna 21    39.02 $819.42 $770.25
18-9560155            Hold,     Stinky 17    35.94 $610.98 $574.32
58-4977653         Gretham,     Nikola 34    32.09 $1,091.06 $1,025.60
05-4025853      Giovanardi,      Harri 32    23.01 $736.32 $692.14
81-9516717          Provis,   Sara-ann 37    38.24 $1,414.88 $1,329.99
74-6899796            Gove,   Mitchell 31    41.49 $1,286.19 $1,209.02
08-6039425           Balch,    Brianna 35    56.43 $1,975.05 $1,856.55
49-6176298       Jakobssen,     Sayers 27    47.50 $1,282.50 $1,205.55
96-1125379          Renney,       Rube 36    42.65 $1,535.40 $1,443.28
16-3578609          Turpey,     Finlay 31    29.63 $918.53 $863.42
50-1771522        Breewood,     Davida 33    56.34 $1,859.22 $1,747.67
55-6886095           Bruff,      Brice 34    45.25 $1,538.50 $1,446.19
46-6647907          Robbie,   Fionnula 32    11.53 $368.96 $346.82
76-0061194          Alwell,        Dix 33    44.42 $1,465.86 $1,377.91
77-1218700       Greenwell,      Milty 36    19.10 $687.60 $646.34
40-8004987        Hindmore,       Kele 23    30.20 $694.60 $652.92
66-3651285          Kiddie,    Malorie 24    19.09 $458.16 $430.67
11-4308682           Newis,       Lana 15    51.31 $769.65 $723.47
77-3028138        Beausang,      Judye 38    31.89 $1,211.82 $1,139.11
03-2959409         Behneke,      Norby 26    30.47 $792.22 $744.69
26-3830002         Pottage,    Gabrila 40    30.97 $1,238.80 $1,164.47
85-3529962          Robart,     Malina 25    16.92 $423.00 $397.62
23-5412580           Rozec,     Perren 24    31.22 $749.28 $704.32
45-6859511         Hanwell,    Esmaria 21    58.85 $1,235.85 $1,161.70
67-8332158         Sirkett,    Quillan 28    44.30 $1,240.40 $1,165.98
44-7179944       Callender,    Klement 20    34.89 $697.80 $655.93
17-4220479       Sherewood,    Nichole 17    14.72 $250.24 $235.23
53-0188354           Btham,   Maybelle 25    23.82 $595.50 $559.77
26-5456333         Dimmick,    Ibrahim 36    14.54 $523.44 $492.03
22-8146586        Stronack,     Ashlen 30    50.08 $1,502.40 $1,412.26
46-6047292            Byng,      Ruthy 18    22.10 $397.80 $373.93
46-8736751       Wickendon,      Eldon 17    31.19 $530.23 $498.42
73-1498595         Spiteri,    Cherice 27    40.17 $1,084.59 $1,019.51
34-7494485          Petrik,    Ricardo 35    32.91 $1,151.85 $1,082.74
81-2084115        Bondesen,   Maitilde 26    57.96 $1,506.96 $1,416.54
93-7990821       Meininger,   Sharline 22    50.77 $1,116.94 $1,049.92
91-6098152             Kob,     Aeriel 40    54.68 $2,187.20 $2,055.97
64-4179591          Kuhnke,    Horacio 38    38.95 $1,480.10 $1,391.29
76-3408462         Seville,      Susie 31    24.90 $771.90 $725.59
65-1516842         Switsur,    Chaddie 23    48.42 $1,113.66 $1,046.84
85-2478173        Franklen,      Barbi 25    45.18 $1,129.50 $1,061.73
94-7512079         Headech,       Etty 19    55.24 $1,049.56 $986.59
90-9632862            Jaze,     Sheena 21    38.42 $806.82 $758.41
96-7893918          Dagger, Archaimbaud 32    31.22 $999.04 $939.10
08-7852046           Romao,      Filia 20    10.95 $219.00 $205.86
88-9901084         Vanlint,      Pauli 25    18.73 $468.25 $440.16
02-7790124          Sayton,  Florencia 33    27.26 $899.58 $845.61
87-8435703      Torrecilla,      Haley 29    39.77 $1,153.33 $1,084.13
99-7162140        Punchard,    Abigail 30    10.70 $321.00 $301.74
33-4897725         Connett,     Blanca 19    22.36 $424.84 $399.35
22-3897106         Jiggins,     Harvey 31    35.46 $1,099.26 $1,033.30
26-9316225          Farnes,    Rozanna 26    54.36 $1,413.36 $1,328.56
60-7918906       Garretson,   Arabelle 34    20.09 $683.06 $642.08
04-2618272      Fitzharris,       Lulu 26    37.73 $980.98 $922.12
46-1582269        Matthews,     Derril 32    28.90 $924.80 $869.31
58-4036289            Vere,      Jamey 20    48.85 $977.00 $918.38
40-2125953         Adshead,      Mitzi 37    15.00 $555.00 $521.70
75-7691926       Scrannage,     Corbie 17    15.25 $259.25 $243.70
76-2131794         Kingett,   Maybelle 33    39.04 $1,288.32 $1,211.02
97-1609113        Ivanilov,   Lorraine 21    25.75 $540.75 $508.30
22-2676243         Noddles,     Winnie 27    43.00 $1,161.00 $1,091.34
00-5695219            Luke,      Levey 26    34.67 $901.42 $847.33
44-1638520           Evans,     Wynnie 30    14.24 $427.20 $401.57
09-5548000         Jacmard,   Sara-ann 27    28.48 $768.96 $722.82
30-0604932             Ren,       Ilka 34    28.74 $977.16 $918.53
99-0007621        Gravenor,      Riane 38    30.18 $1,146.84 $1,078.03
99-1907076           Voyce,    Hasheem 28    20.70 $579.60 $544.82
10-8990046        Openshaw,     Ludvig 40    43.64 $1,745.60 $1,640.86
13-2465907          Muckle,      Doyle 27    58.53 $1,580.31 $1,485.49
38-8946930         Kelling,      Trudi 31    11.79 $365.49 $343.56
84-7944626           Otley,      Paxon 21    20.15 $423.15 $397.76
49-5415006         Sawkins,   Griswold 20    11.10 $222.00 $208.68
02-1415773       Bourchier,        Wat 38    20.97 $796.86 $749.05
01-5889563          Nowick,      Vivia 36    55.84 $2,010.24 $1,889.63
24-4427203      Huntingdon,     Nerita 29    41.18 $1,194.22 $1,122.57
92-7829125            Tire,    Cheslie 39    25.46 $992.94 $933.36
43-2372510         Nekrews,   Rafferty 34    26.87 $913.58 $858.77
77-3934003      Chaudrelle,    Antonio 21    33.32 $699.72 $657.74
29-8126888         Donaway,  Shandeigh 39    24.19 $943.41 $886.81
96-3695765           Pring,     Fields 30    23.59 $707.70 $665.24
22-6298839         Leggett,  Frederigo 37    33.70 $1,246.90 $1,172.09
16-4645452        Knottley,     Horton 26    49.64 $1,290.64 $1,213.20
92-0816748       Caldecutt,    Arluene 15    25.04 $375.60 $353.06
17-8669353     Madoc-Jones,       Irma 33    47.81 $1,577.73 $1,483.07
11-4872336        Redhouse,     Michal 19    49.66 $943.54 $886.93
39-2867793          Bastie,     Astrix 16    18.98 $303.68 $285.46
41-5927330         Haslock,  Annamaria 23    56.61 $1,302.03 $1,223.91
56-0339041        Dumingos,      Tandy 27    43.15 $1,165.05 $1,095.15
57-4710514          Tampin,    Blancha 35    22.79 $797.65 $749.79
05-0137870            Izon,     Darell 36    50.66 $1,823.76 $1,714.33
45-4054488        Melchior,      Neill 16    52.63 $842.08 $791.56
53-1485925           Dwine,     Lannie 39    25.14 $980.46 $921.63
25-3788184        Wanstall,   Georgine 18    49.24 $886.32 $833.14
32-5108421         Towlson,       Anna 31    11.87 $367.97 $345.89
95-5108325      Lancashire,      Lenee 16    52.79 $844.64 $793.96
41-3558108            Sirl,      Lacey 32    52.02 $1,664.64 $1,564.76
51-6521201         Delouch,     Brocky 24    19.62 $470.88 $442.63
02-3828448         Cayette,       Arny 28    53.47 $1,497.16 $1,407.33
18-9481198            Gerb,   Tallulah 39    49.36 $1,925.04 $1,809.54
51-3611095      Tellwright,      Annie 20    47.84 $956.80 $899.39
18-6922781         Bonavia,        Yul 38    41.43 $1,574.34 $1,479.88
52-1361689           Canet,     Ransom 20    27.32 $546.40 $513.62
16-7130674         Bichard,      Iosep 37    23.13 $855.81 $804.46
02-3144111          Dickie,      Alena 36    43.38 $1,561.68 $1,467.98
13-5221773         Hughill,    Michael 21    44.94 $943.74 $887.12
75-0055988       Courtonne,   Jephthah 24    11.20 $268.80 $252.67
79-2570474        Berryann,    Karissa 19    54.86 $1,042.34 $979.80
43-7061673          Turbat,    Paulita 27    24.01 $648.27 $609.37
90-7015155           Pluck,      Lukas 15    28.91 $433.65 $407.63
23-1503159           Lewis,     Haskel 18    33.26 $598.68 $562.76
84-7237763           Heads,     Ileane 19    38.65 $734.35 $690.29
28-2527333        Bussetti,   Meridith 18    18.19 $327.42 $307.77
39-6290138           Awdry,    Ophelie 36    17.23 $620.28 $583.06
77-8864279        Ettritch,    Merrili 39    50.80 $1,981.20 $1,862.33
91-6066846      Gouldbourn,       Gray 18    18.44 $331.92 $312.00
95-1593290          Bonder,     Leonie 17    21.01 $357.17 $335.74
89-7641313          Kighly,        Vin 30    33.77 $1,013.10 $952.31
22-9323586           Brade,     Cullen 19    21.00 $399.00 $375.06
45-7790511          Nutley, Bernardina 29    50.50 $1,464.50 $1,376.63
44-5469394           Lemar,      Fayre 21    37.06 $778.26 $731.56
52-1580561       Flockhart,      Essie 37    23.09 $854.33 $803.07
22-8238890         Bullene,       Mike 39    16.90 $659.10 $619.55
02-0370316         Donahue,      Vivie 21    46.11 $968.31 $910.21
85-8848687         Idenden,     Fields 24    11.18 $268.32 $252.22
